lat,lon,z,time,anom
-82.5,297.5,0.0,2020-12-01,
-82.5,302.5,0.0,2020-12-01,
-82.5,307.5,0.0,2020-12-01,
-82.5,312.5,0.0,2020-12-01,
-82.5,317.5,0.0,2020-12-01,
-82.5,322.5,0.0,2020-12-01,
-82.5,327.5,0.0,2020-12-01,
-82.5,332.5,0.0,2020-12-01,
-82.5,337.5,0.0,2020-12-01,
-82.5,342.5,0.0,2020-12-01,
-82.5,347.5,0.0,2020-12-01,-0.01
-82.5,352.5,0.0,2020-12-01,
-82.5,357.5,0.0,2020-12-01,
-77.5,2.5,0.0,2020-12-01,
-77.5,7.5,0.0,2020-12-01,
-77.5,12.5,0.0,2020-12-01,
-77.5,17.5,0.0,2020-12-01,
-77.5,22.5,0.0,2020-12-01,
-77.5,27.5,0.0,2020-12-01,
-77.5,32.5,0.0,2020-12-01,
-77.5,37.5,0.0,2020-12-01,-0.08
-77.5,42.5,0.0,2020-12-01,
-77.5,47.5,0.0,2020-12-01,
-77.5,52.5,0.0,2020-12-01,
-77.5,57.5,0.0,2020-12-01,
-77.5,62.5,0.0,2020-12-01,
-77.5,67.5,0.0,2020-12-01,
-77.5,72.5,0.0,2020-12-01,
-77.5,77.5,0.0,2020-12-01,-6.18
-77.5,82.5,0.0,2020-12-01,
-77.5,87.5,0.0,2020-12-01,
-77.5,92.5,0.0,2020-12-01,
-77.5,97.5,0.0,2020-12-01,
-77.5,102.5,0.0,2020-12-01,
-77.5,107.5,0.0,2020-12-01,-0.01
-77.5,112.5,0.0,2020-12-01,
-77.5,117.5,0.0,2020-12-01,
-77.5,122.5,0.0,2020-12-01,0.85
-77.5,127.5,0.0,2020-12-01,
-77.5,132.5,0.0,2020-12-01,
-77.5,137.5,0.0,2020-12-01,
-77.5,142.5,0.0,2020-12-01,
-77.5,147.5,0.0,2020-12-01,
-77.5,152.5,0.0,2020-12-01,
-77.5,157.5,0.0,2020-12-01,
-77.5,162.5,0.0,2020-12-01,1.5
-77.5,167.5,0.0,2020-12-01,0.03
-77.5,172.5,0.0,2020-12-01,-0.88
-77.5,177.5,0.0,2020-12-01,
-77.5,182.5,0.0,2020-12-01,-0.16
-77.5,187.5,0.0,2020-12-01,
-77.5,192.5,0.0,2020-12-01,
-77.5,197.5,0.0,2020-12-01,
-77.5,202.5,0.0,2020-12-01,
-77.5,207.5,0.0,2020-12-01,
-77.5,212.5,0.0,2020-12-01,
-77.5,217.5,0.0,2020-12-01,
-77.5,222.5,0.0,2020-12-01,
-77.5,227.5,0.0,2020-12-01,
-77.5,232.5,0.0,2020-12-01,
-77.5,237.5,0.0,2020-12-01,
-77.5,242.5,0.0,2020-12-01,
-77.5,247.5,0.0,2020-12-01,
-77.5,252.5,0.0,2020-12-01,
-77.5,257.5,0.0,2020-12-01,
-77.5,262.5,0.0,2020-12-01,
-77.5,267.5,0.0,2020-12-01,
-77.5,272.5,0.0,2020-12-01,
-77.5,277.5,0.0,2020-12-01,
-77.5,282.5,0.0,2020-12-01,
-77.5,287.5,0.0,2020-12-01,
-77.5,292.5,0.0,2020-12-01,
-77.5,297.5,0.0,2020-12-01,
-77.5,302.5,0.0,2020-12-01,-1.03
-77.5,307.5,0.0,2020-12-01,
-77.5,312.5,0.0,2020-12-01,
-77.5,317.5,0.0,2020-12-01,
-77.5,322.5,0.0,2020-12-01,
-77.5,327.5,0.0,2020-12-01,1.93
-77.5,332.5,0.0,2020-12-01,0.05
-77.5,337.5,0.0,2020-12-01,
-77.5,342.5,0.0,2020-12-01,
-77.5,347.5,0.0,2020-12-01,
-77.5,352.5,0.0,2020-12-01,
-77.5,357.5,0.0,2020-12-01,-0.59
-72.5,2.5,0.0,2020-12-01,-0.83
-72.5,7.5,0.0,2020-12-01,
-72.5,12.5,0.0,2020-12-01,-0.57
-72.5,17.5,0.0,2020-12-01,
-72.5,22.5,0.0,2020-12-01,
-72.5,27.5,0.0,2020-12-01,
-72.5,32.5,0.0,2020-12-01,
-72.5,37.5,0.0,2020-12-01,
-72.5,42.5,0.0,2020-12-01,0.22
-72.5,47.5,0.0,2020-12-01,
-72.5,52.5,0.0,2020-12-01,
-72.5,57.5,0.0,2020-12-01,
-72.5,62.5,0.0,2020-12-01,
-72.5,67.5,0.0,2020-12-01,
-72.5,72.5,0.0,2020-12-01,
-72.5,77.5,0.0,2020-12-01,
-72.5,82.5,0.0,2020-12-01,
